ID,Area,Phase,BurialJarPots,InjuredIndividuals,PopulationPressure
1,FukuokaPlain,KIIa,54,0,0.216
2,FukuokaPlain,KIIb,284,1,1.135
3,FukuokaPlain,KIIc,220,0,0.22
4,FukuokaPlain,KIIIa,416,0,0.594
5,FukuokaPlain,KIIIb,484,1,0.605
6,FukuokaPlain,KIIIc,95,0,0.119
7,MikuniHill,KIIa,465,1,2.355
8,MikuniHill,KIIb,611,4,3.095
9,MikuniHill,KIIc,1003,9,1.27
10,MikuniHill,KIIIa,1001,15,1.811
11,MikuniHill,KIIIb,559,7,0.885
12,MikuniHill,KIIIc,543,2,0.86
13,ItoshimaPlain,KIIa,81,0,0.386
14,ItoshimaPlain,KIIb,49,0,0.234
15,ItoshimaPlain,KIIc,40,0,0.048
16,ItoshimaPlain,KIIIa,64,0,0.109
17,ItoshimaPlain,KIIIb,53,0,0.079
18,ItoshimaPlain,KIIIc,17,0,0.025
19,SawaraPlain,KIIa,38,0,0.262
20,SawaraPlain,KIIb,122,0,0.84
21,SawaraPlain,KIIc,122,0,0.21
22,SawaraPlain,KIIIa,298,1,0.733
23,SawaraPlain,KIIIb,187,0,0.403
24,SawaraPlain,KIIIc,138,1,0.297
25,WestTukushiPlain,KIIa,191,0,0.809
26,WestTukushiPlain,KIIb,76,1,0.322
27,WestTukushiPlain,KIIc,27,0,0.029
28,WestTukushiPlain,KIIIa,24,0,0.036
29,WestTukushiPlain,KIIIb,116,0,0.154
30,WestTukushiPlain,KIIIc,43,0,0.057
31,CentralTsukushiPlain,KIIa,312,0,1.238
32,CentralTsukushiPlain,KIIb,494,0,1.96
33,CentralTsukushiPlain,KIIc,808,0,0.801
34,CentralTsukushiPlain,KIIIa,1011,4,1.432
35,CentralTsukushiPlain,KIIIb,230,0,0.285
36,CentralTsukushiPlain,KIIIc,110,0,0.136